NCOLS 3
NROWS 82970
XLLCENTER 726700
YLLCENTER 4820125
CELLSIZE 25
245.00891 27.49555 -636.0
245.01201 27.49286 -655.0
245.01512 27.49016 -710.0
245.01822 27.48746 -695.0
245.02443 27.48206 -747.0
245.03374 27.47397 -747.0
245.03684 27.47127 -702.0
245.03994 27.46857 -700.0
245.04305 27.46587 -648.0
245.04615 27.46317 -647.0
245.04925 27.46048 -589.0
245.05236 27.45778 -577.0
245.05546 27.45508 -498.0
245.06167 27.44968 -450.0
245.06477 27.44698 -450.0
245.06788 27.44429 -426.0
245.07098 27.44159 -431.0
245.07408 27.43889 -426.0
245.0865 27.4281 -458.0
245.0896 27.4254 -441.0
245.09227 27.42246 -458.0
245.09761 27.41659 -533.0
245.10028 27.41366 -551.0
245.10562 27.40779 -579.0
245.11096 27.40192 -564.0
245.11363 27.39899 -543.0
245.11897 27.39312 -515.0
245.12431 27.38725 -505.0
245.12698 27.38431 -443.0
245.12965 27.38138 -386.0
245.13232 27.37844 -329.0
245.13766 27.37257 -217.0
245.14033 27.36964 -131.0
245.14301 27.36671 -114.0
245.14835 27.36084 -103.0
245.15102 27.3579 -94.0
245.15369 27.35497 -75.0
245.15636 27.35203 -75.0
245.15903 27.3491 -103.0
245.16704 27.34029 -113.0
245.17238 27.33442 -114.0
245.17772 27.32855 -196.0
245.18039 27.32562 -198.0
245.18306 27.32269 -189.0
245.18573 27.31975 -200.0
245.1884 27.31682 -217.0
245.19374 27.31095 -254.0
245.20442 27.29921 -292.0
245.20709 27.29627 -320.0
245.21243 27.2904 -413.0
245.21777 27.28454 -477.0
245.22044 27.2816 -507.0
245.22311 27.27867 -561.0
245.22579 27.27573 -549.0
245.22845 27.2728 -557.0
245.23112 27.26986 -566.0
245.2338 27.26693 -559.0
245.23914 27.26106 -492.0
245.24181 27.25812 -551.0
245.24448 27.25519 -505.0
245.24715 27.25225 -490.0
245.24982 27.24932 -458.0
245.25249 27.24639 -460.0
245.25783 27.24052 -539.0
245.2605 27.23758 -543.0
245.27385 27.22291 -628.0
245.28186 27.2141 -689.0
245.2872 27.20823 -741.0
245.28987 27.2053 -728.0
245.29254 27.20237 -741.0
245.29521 27.19943 -821.0
245.29788 27.1965 -951.0
245.30055 27.19356 -924.0
245.30322 27.19063 -858.0
245.30589 27.18769 -922.0
245.30856 27.18476 -922.0
245.31123 27.18182 -941.0
245.3139 27.17889 -903.0
245.31924 27.17302 -841.0
245.32458 27.16715 -913.0
245.32726 27.16421 -913.0
245.32993 27.16128 -911.0
245.3326 27.15835 -994.0
245.33527 27.15541 -1091.0
245.33794 27.15248 -977.0
245.34061 27.14954 -913.0
245.35396 27.13487 -785.0
245.3593 27.129 -802.0
245.36422 27.12381 -943.0
245.36668 27.12122 -987.0
245.3716 27.11603 -793.0
245.37899 27.10825 -932.0
245.38145 27.10566 -1302.0
245.38391 27.10307 -1359.0
245.38637 27.10047 -1048.0
245.38883 27.09788 -922.0
245.39129 27.09529 -894.0
245.39621 27.0901 -848.0
245.40113 27.08492 -839.0
245.40359 27.08232 -875.0
245.40605 27.07973 -1115.0
245.40851 27.07714 -1115.0
245.41097 27.07455 -898.0
245.4159 27.06936 -877.0
245.42328 27.06158 -894.0
245.4282 27.05639 -1006.0
245.43066 27.0538 -1070.0
245.43312 27.05121 -1053.0
245.43558 27.04861 -1057.0
245.43804 27.04602 -1028.0
245.4405 27.04343 -1043.0
245.44542 27.03824 -1080.0
245.44788 27.03565 -1136.0
245.45035 27.03306 -1089.0
245.45281 27.03046 -1068.0
245.45773 27.02528 -1043.0
245.46265 27.02009 -1017.0
245.46511 27.0175 -1013.0
245.47249 27.00972 -1000.0
245.47741 27.00453 -1015.0
245.4848 26.99675 -1043.0
245.48972 26.99157 -1089.0
245.4971 26.98379 -1148.0
245.49956 26.98119 -1142.0
245.50202 26.9786 -1126.0
245.50448 26.97601 -1102.0
245.50694 26.97342 -1108.0
245.5094 26.97082 -1098.0
245.51432 26.96564 -1117.0
245.51925 26.96045 -1154.0
245.52663 26.95267 -1237.0
245.52909 26.95008 -1256.0
245.53401 26.94489 -1290.0
245.53647 26.9423 -1283.0
245.53893 26.93971 -1309.0
245.54877 26.92933 -1570.0
245.55123 26.92674 -1569.0
245.5537 26.92415 -1597.0
245.55862 26.91896 -1589.0
245.56354 26.91377 -1636.0
245.566 26.91118 -1644.0
245.56846 26.90859 -1708.0
245.57092 26.906 -1757.0
245.57338 26.9034 -1751.0
245.57584 26.90081 -1766.0
245.5783 26.89822 -1859.0
245.58076 26.89562 -1989.0
245.58322 26.89303 -2046.0
245.58568 26.89044 -2150.0
245.58815 26.88784 -2144.0
245.59307 26.88266 -2176.0
245.59799 26.87747 -2225.0
245.60045 26.87488 -2251.0
245.61275 26.86191 -2371.0
245.62014 26.85413 -2391.0
245.6226 26.85154 -2445.0
245.62506 26.84895 -2456.0
245.63736 26.83598 -2512.0
245.63982 26.83339 -2540.0
245.64966 26.82302 -2550.0
245.66197 26.81005 -2565.0
245.67427 26.79709 -2569.0
245.68657 26.78412 -2576.0
245.69888 26.77116 -2578.0
245.71118 26.75819 -2569.0
245.72349 26.74523 -2557.0
245.73579 26.73226 -2522.0
245.74809 26.7193 -2512.0
245.7604 26.70633 -2509.0
245.7727 26.69337 -2488.0
245.785 26.6804 -2475.0
245.79769 26.66694 -2452.0
245.81037 26.65347 -2447.0
245.82306 26.64001 -2437.0
245.83574 26.62655 -2435.0
245.84842 26.61308 -2431.0
245.85857 26.60231 -2425.0
245.86111 26.59962 -2382.0
245.86365 26.59692 -2384.0
245.86618 26.59423 -2420.0
245.86872 26.59154 -2412.0
245.87126 26.58885 -2345.0
245.87379 26.58615 -2298.0
245.87887 26.58077 -2232.0
245.88394 26.57538 -2232.0
245.88648 26.57269 -2300.0
245.88901 26.57 -2294.0
245.89155 26.5673 -2232.0
245.89409 26.56461 -2140.0
245.89663 26.56192 -2157.0
245.89916 26.55923 -2109.0
245.90677 26.55115 -1963.0
245.90931 26.54846 -1997.0
245.91185 26.54576 -1915.0
245.91438 26.54307 -1961.0
245.91946 26.53768 -1887.0
245.92199 26.53499 -1942.0
245.92453 26.5323 -1897.0
245.92707 26.52961 -1904.0
245.93214 26.52422 -1908.0
245.93468 26.52153 -1813.0
245.93721 26.51884 -1842.0
245.93975 26.51614 -1863.0
245.94229 26.51345 -1710.0
245.94482 26.51076 -1755.0
245.94736 26.50806 -1748.0
245.9499 26.50537 -1766.0
245.95243 26.50268 -1731.0
245.95497 26.49999 -1823.0
245.96005 26.4946 -1693.0
245.96258 26.49191 -1680.0
245.96512 26.48922 -1634.0
245.96766 26.48652 -1623.0
245.97019 26.48383 -1673.0
245.97527 26.47844 -1802.0
245.9778 26.47575 -1832.0
245.98034 26.47306 -1813.0
245.98288 26.47037 -1719.0
245.98541 26.46767 -1693.0
245.98795 26.46498 -1701.0
245.99049 26.46229 -1703.0
245.99302 26.4596 -1636.0
245.99556 26.4569 -1587.0
245.9981 26.45421 -1636.0
246.00063 26.45152 -1636.0
246.00571 26.44613 -1727.0
246.00825 26.44344 -1738.0
246.01078 26.44075 -1636.0
246.01332 26.43805 -1570.0
246.01586 26.43536 -1530.0
246.01839 26.43267 -1542.0
246.02093 26.42997 -1534.0
246.02347 26.42728 -1604.0
246.026 26.42459 -1676.0
246.02854 26.4219 -1682.0
246.03108 26.4192 -1748.0
246.03361 26.41651 -1451.0
246.03615 26.41382 -1442.0
246.03869 26.41113 -1457.0
246.04122 26.40843 -1366.0
246.04376 26.40574 -1413.0
246.0463 26.40305 -1470.0
246.04883 26.40035 -1406.0
246.05137 26.39766 -1394.0
246.05391 26.39497 -1379.0
246.05645 26.39228 -1285.0
246.06152 26.38689 -1228.0
246.06406 26.3842 -1228.0
246.06659 26.38151 -1218.0
246.06913 26.37881 -1176.0
246.07167 26.37612 -1146.0
246.0742 26.37343 -1154.0
246.07674 26.37073 -1098.0
246.08181 26.36535 -1017.0
246.08435 26.36266 -1041.0
246.08689 26.35996 -1144.0
246.08942 26.35727 -1146.0
246.0945 26.35189 -1017.0
246.09957 26.3465 -957.0
246.10211 26.34381 -1068.0
246.10465 26.34111 -1115.0
246.10972 26.33573 -987.0
246.11226 26.33304 -1083.0
246.11479 26.33034 -996.0
246.11987 26.32496 -932.0
246.1224 26.32227 -1034.0
246.12748 26.31688 -928.0
246.13255 26.31149 -875.0
246.13509 26.3088 -885.0
246.14016 26.30342 -1006.0
246.1427 26.30072 -1121.0
246.14523 26.29803 -1006.0
246.14777 26.29534 -892.0
246.15031 26.29265 -894.0
246.15285 26.28995 -793.0
246.15538 26.28726 -755.0
246.15792 26.28457 -932.0
246.16046 26.28187 -943.0
246.16299 26.27918 -976.0
246.16553 26.27649 -941.0
246.1706 26.2711 -821.0
246.17568 26.26572 -691.0
246.17821 26.26303 -670.0
246.18075 26.26033 -668.0
246.18329 26.25764 -736.0
246.18582 26.25495 -740.0
246.1909 26.24956 -719.0
246.19851 26.24148 -784.0
246.20104 26.23879 -829.0
246.20358 26.2361 -695.0
246.20612 26.23341 -672.0
246.21119 26.22802 -663.0
246.21627 26.22264 -650.0
246.22388 26.21456 -645.0
246.22895 26.20917 -666.0
246.23149 26.20648 -728.0
246.23402 26.20378 -726.0
246.23656 26.20109 -641.0
246.2391 26.1984 -643.0
246.24155 26.19567 -653.0
246.244 26.19294 -650.0
246.24645 26.19021 -657.0
246.24891 26.18748 -641.0
246.25136 26.18475 -645.0
246.25381 26.18201 -665.0
246.25626 26.17928 -772.0
246.25872 26.17655 -728.0
246.26117 26.17382 -672.0
246.26362 26.17109 -647.0
246.26607 26.16836 -653.0
246.26852 26.16563 -700.0
246.27098 26.1629 -691.0
246.27343 26.16017 -653.0
246.27588 26.15744 -782.0
246.27833 26.15471 -719.0
246.28079 26.15198 -672.0
246.28569 26.14651 -645.0
246.29059 26.14105 -670.0
246.29305 26.13832 -691.0
246.3004 26.13013 -609.0
246.30286 26.1274 -607.0
246.30776 26.12194 -587.0
246.31512 26.11374 -702.0
246.32493 26.10282 -617.0
246.32738 26.10009 -678.0
246.32983 26.09736 -691.0
246.33228 26.09463 -666.0
246.33719 26.08916 -598.0
246.33964 26.08643 -598.0
246.34945 26.07551 -568.0
246.3519 26.07278 -543.0
246.35435 26.07005 -537.0
246.36171 26.06186 -589.0
246.36416 26.05912 -691.0
246.36661 26.05639 -721.0
246.36907 26.05366 -719.0
246.37152 26.05093 -611.0
246.37397 26.0482 -574.0
246.37642 26.04547 -607.0
246.37887 26.04274 -685.0
246.38133 26.04001 -650.0
246.38623 26.03455 -617.0
246.38868 26.03182 -628.0
246.39114 26.02908 -691.0
246.39604 26.02362 -772.0
246.39849 26.02089 -693.0
246.40095 26.01816 -685.0
246.4083 26.00997 -691.0
246.41321 26.00451 -802.0
246.41811 25.99904 -932.0
246.42056 25.99631 -795.0
246.42302 25.99358 -961.0
246.42547 25.99085 -922.0
246.43037 25.98539 -846.0
246.43282 25.98266 -894.0
246.43528 25.97993 -903.0
246.43773 25.9772 -885.0
246.44018 25.97447 -883.0
246.44999 25.96354 -949.0
246.45735 25.95535 -1015.0
246.4598 25.95262 -1034.0
246.46225 25.94989 -1024.0
246.4647 25.94716 -1015.0
246.46961 25.9417 -949.0
246.47451 25.93623 -941.0
246.47942 25.93077 -1004.0
246.48187 25.92804 -987.0
246.48432 25.92531 -1006.0
246.48677 25.92258 -1000.0
246.49168 25.91712 -941.0
246.49658 25.91166 -913.0
246.49903 25.90893 -903.0
246.50394 25.90346 -903.0
246.50884 25.898 -968.0
246.5113 25.89527 -1015.0
246.51375 25.89254 -1024.0
246.5162 25.88981 -1015.0
246.5211 25.88435 -924.0
246.52356 25.88162 -875.0
246.52846 25.87615 -793.0
246.53337 25.87069 -689.0
246.53582 25.86796 -672.0
246.53827 25.86523 -663.0
246.54072 25.8625 -663.0
246.54808 25.85431 -617.0
246.55298 25.84885 -579.0
246.55789 25.84338 -579.0
246.56034 25.84065 -561.0
246.5726 25.827 -433.0
246.581 25.81544 -375.0
246.5831 25.81255 -369.0
246.5936 25.7981 -331.0
246.59416 25.79318 -339.0
246.595 25.7858 -356.0
246.5964 25.7735 -409.0
246.60045 25.76922 -420.0
246.6037 25.7658 -487.0
246.60523 25.76415 -477.0
246.61137 25.75755 -458.0
246.6129 25.7559 -468.0
246.62254 25.74487 -524.0
246.62495 25.74211 -636.0
246.63458 25.73108 -785.0
246.63699 25.72832 -706.0
246.64181 25.72281 -602.0
246.64663 25.71729 -645.0
246.64904 25.71453 -719.0
246.65386 25.70902 -782.0
246.65626 25.70626 -791.0
246.66108 25.70074 -791.0
246.67072 25.68971 -782.0
246.67313 25.68696 -747.0
246.68517 25.67317 -728.0
246.69722 25.65938 -689.0
246.70927 25.64559 -663.0
246.72131 25.6318 -657.0
246.73336 25.61801 -661.0
246.7454 25.60422 -663.0
246.75745 25.59044 -637.0
246.76949 25.57665 -619.0
246.78154 25.56286 -591.0
246.79359 25.54907 -553.0
246.79599 25.54631 -543.0
246.80081 25.5408 -455.0
246.80563 25.53528 -420.0
246.81045 25.52977 -386.0
246.81768 25.52149 -394.0
246.82491 25.51322 -416.0
246.82731 25.51046 -458.0
246.82972 25.5077 -457.0
246.84177 25.49392 -398.0
246.85381 25.48013 -368.0
246.86586 25.46634 -354.0
246.87791 25.45255 -320.0
246.88995 25.43876 -269.0
246.902 25.42497 -235.0
246.91404 25.41118 -207.0
246.92609 25.3974 -179.0
246.93813 25.38361 -170.0
246.94295 25.37809 -196.0
246.95018 25.36982 -157.0
246.95259 25.36706 -135.0
246.96223 25.35603 -131.0
246.97186 25.345 -133.0
246.97427 25.34224 -148.0
246.99114 25.32294 -265.0
246.99836 25.31467 -245.0
247.01041 25.30088 -217.0
247.02245 25.28709 -217.0
247.0345 25.2733 -183.0
247.04701 25.2597 -160.0
247.05951 25.2461 -143.0
247.07202 25.2325 -151.0
247.08452 25.2189 -181.0
247.09453 25.20802 -243.0
247.09703 25.2053 -215.0
247.09953 25.20258 -194.0
247.10953 25.1917 -202.0
247.12204 25.1781 -226.0
247.13204 25.16722 -262.0
247.13455 25.1645 -254.0
247.14705 25.1509 -215.0
247.15956 25.1373 -207.0
247.17206 25.1237 -207.0
247.17706 25.11826 -207.0
247.19707 25.0965 -219.0
247.20458 25.08834 -226.0
247.20958 25.0829 -209.0
247.21958 25.07202 -189.0
247.22209 25.0693 -181.0
247.23459 25.0557 -198.0
247.2446 25.04482 -215.0
247.2471 25.0421 -196.0
247.2596 25.0285 -164.0
247.26961 25.01762 -157.0
247.27211 25.0149 -160.0
247.27961 25.00674 -170.0
247.28211 25.00402 -183.0
247.28461 25.0013 -189.0
247.29712 24.9877 -226.0
247.29962 24.98498 -237.0
247.30212 24.98226 -264.0
247.30962 24.9741 -309.0
247.31713 24.96594 -329.0
247.32213 24.9605 -294.0
247.32963 24.95234 -232.0
247.33464 24.9469 -202.0
247.34464 24.93602 -179.0
