Foley, T. A. (1986). Scattered data interpolation and approximation with error bounds. Computer Aided Geometric Design, 3(3),

The N = 64 points of the Monterey coast data set.
The Big Sur data consists of water temperature measurements taken in a boat traveling nearly
perpendicular to the shore off the coast of Big Sur, California. 

i Xi   Yi  Fi 
1 92.2 2.0 10.39 
2 88.8 2.3 10.23
3 87.8 3.3 10.34
4 71.0 6.0 11.65
5 67.3 6.6 12.25
6 62.2 5.3 12.84
7 48.8 2.3 13.58
8 39.6 5.4 14.11
9 31.0 4.9 14.21
10 21.0 6.1 14.19
11 12.8 8.0 14.16
12 87.2 34.8 10.20
13 86.7 34.1 10.45
14 85.6 33.8 10.97
15 84.9 33.9 10.81 
16 84.0 33.9 10.67
17 77.3 35.7 11.53
18 73.2 34.7 12.38
19 68.0 35.1 12.50
20 63.3 33.8 12.85
21 52.3 35.5 13.09
22 44.5 34.0 13.68
23 32.0 33.9 14.01
24 20.9 35.9 13.65
25 12.4 35.5 14.08
26 2.3 32.9 14.25
27 86.7 64.9 11.41
28 85.9 64.8 11.02
29 84.8 64.9 11.09
30 83.5 64.4 10.62
31 77.9 64.9 11.09
32 74.1 63.7 12.13
33 67.4 65.0 12.78
34 62.9 63.9 12.73
35 51.8 64.9 11.66
36 41.3 65.6 12.63
37 29.7 62.0 13.18
38 22.3 65.2 13.42
39 13.0 65.9 13.22
40 2.7 64.8 13.01
41 3.0 94.0 13.09
42 11.5 96.8 12.84
43 22.3 95.9 12.99
44 32.0 94.0 13.30
45 42.1 95.8 12.94
46 53.1 94.2 12.25
47 63.1 94.2 10.95
48 66.0 94.2 10.66
49 66.0 93.0 10.58
50 67.3 95.2 10.73
51 68.8 94.4 10.48
52 69.9 94.0 10.38
53 71.8 94.5 10.45
54 73.8 94.9 10.27
55 75.2 94.5 10.22
56 83.0 124.5 13.41
57 72.0 126.0 13.04
58 62.5 123.3 13.38
59 51.9 124.8 12.89
60 32.5 126.5 13.22
61 27.1 126.0 13.03
62 20.2 125.3 11.86
63 7.9 127.6 11.99
64 2.0 123.0 12.06
