NCOLS 3
NROWS 64
XLLCENTER 726700
YLLCENTER 4820125
CELLSIZE 25
92.2 2 10.39
88.8 2.3 10.23
87.8 3.3 10.34
71 6 11.65
67.3 6.6 12.25
62.2 5.3 12.84
48.8 2.3 13.58
39.6 5.4 14.11
31 4.9 14.21
21 6.1 14.19
12.8 8 14.16
87.2 34.8 10.2
86.7 34.1 10.45
85.6 33.8 10.97
84.9 33.9 10.81
84 33.9 10.67
77.3 35.7 11.53
73.2 34.7 12.38
68 35.1 12.5
63.3 33.8 12.85
52.3 35.5 13.09
44.5 34 13.68
32 33.9 14.01
20.9 35.9 13.65
12.4 35.5 14.08
2.3 32.9 14.25
86.7 64.9 11.41
85.9 64.8 11.02
84.8 64.9 11.09
83.5 64.4 10.62
77.9 64.9 11.09
74.1 63.7 12.13
67.4 65 12.78
62.9 63.9 12.73
51.8 64.9 11.66
41.3 65.6 12.63
29.7 62 13.18
22.3 65.2 13.42
13 65.9 13.22
2.7 64.8 13.01
3 94 13.09
11.5 96.8 12.84
22.3 95.9 12.99
32 94 13.3
42.1 95.8 12.94
53.1 94.2 12.25
63.1 94.2 10.95
66 94.2 10.66
66 93 10.58
67.3 95.2 10.73
68.8 94.4 10.48
69.9 94 10.38
71.8 94.5 10.45
73.8 94.9 10.27
75.2 94.5 10.22
83 124.5 13.41
72 126 13.04
62.5 123.3 13.38
51.9 124.8 12.89
32.5 126.5 13.22
27.1 126 13.03
20.2 125.3 11.86
7.9 127.6 11.99
2 123 12.06
